Car,temp,pH,EC,TDS,GROUP
47.7,30.2,8.8,77,1.9,1
39.9,21.8,8.1,317,3.4,1
39.9,22.6,7,71,5.5,1
39.9,26,8.7,357,1.9,1
39.9,18.8,7.7,71,1.4,1
39.9,24.5,8.4,359,3.5,1
39.9,27.4,8.1,280,2.3,1
39.8,27,8.4,388,1.5,1
39.8,18.4,8.2,336,2,1
39.8,18.9,6.9,103,0.9,1
39.8,27.7,8.3,225,2.4,1
39.8,24.3,7.6,72,0.85,1
39.8,22.8,8.4,398,1.7,1
39.8,18.2,8.7,180,0.6,1
39.8,24.4,8.3,210,3,1
39.8,25.8,7.8,280,4.8,1
39.8,18.3,8.4,256,4.2,1
39.7,19,8.3,442,1.5,1
39.7,27.4,8.4,308,3.2,1
39.7,31.2,9,213,1.5,1
39.7,27.2,8.4,366,1.7,1
39.7,23.7,7.8,77,0.9,1
39.7,22.7,8,257,2.9,1
39.6,17.9,7.4,65,1.2,1
39.6,21.3,8,327,3.4,1
39.6,18,8.2,252,2,1
39.6,19.6,8.7,260,1.9,1
39.6,22.6,8.1,256,3.8,1
39.6,32.1,8.4,295,2.6,1
39.5,28.1,8.8,208,2.7,1
39.5,22.1,8.6,291,2.4,1
39.5,19.5,8.2,252,0.9,1
39.5,19.6,8.3,299,2.6,1
39.5,18.7,8.4,325,1.3,1
39.5,17.3,6.9,75,1.1,1
39.4,29.4,8.6,411,1.6,1
39.4,27.5,8.4,399,2,1
39.4,20.7,8.3,296,2.5,1
39.4,17.8,8.4,206,2.2,1
39.4,30.3,8.6,345,1.5,1
39.4,24,7.1,76,2.8,1
39.4,31.3,8.1,238,2.6,1
39.4,21.7,8.1,427,0.5,1
39.4,21.8,8.2,426,1.5,1
39.4,19.2,8.4,281,2.5,1
39.4,21.5,7,144,3.4,1
39.3,25.2,8.4,388,2.6,1
39.3,25.3,8.3,386,3.2,1
39.3,17.1,8.4,370,1,1
39.3,30.9,8,236,2.2,1
39.2,17,8.4,378,1.1,1
39.2,30,8.5,392,2.1,1
39.2,18.9,8.4,323,2.2,1
39.2,20.6,8.2,249,2,1
39.1,26.4,8.4,306,1.4,1
39.1,21.3,7.8,209,4.6,1
39.1,29.6,8.1,78,1.9,1
39.1,23.1,8.8,219,3.5,1
39.1,21.8,8.5,334,1.1,1
39,26.8,8.2,396,3.1,1
39,19.6,8.4,434,2.1,1
39,19.5,8.4,433,2.2,1
39,26.2,8.4,393,2.2,1
39,19.5,8.3,434,2.5,1
39,25.5,8.3,378,3.5,1
39,28,8.5,331,2.4,1
39,20.2,8.4,416,2.6,1
39,23.8,8.7,365,4.7,1
39,24,8.7,361,5,1
39,27.4,8.4,281,2.1,1
39,27.7,8.4,281,1.8,1
39,27.9,8.4,280,1.8,1
39,21.3,8.3,392,0.9,1
39,20.5,8.1,450,1.5,1
39,20.6,8.3,416,2,1
39,24.1,8.6,332,1.8,1
39,21.1,7.9,363,2.7,1
39,30.1,8.4,435,1.7,1
39,29.8,8.4,311,1.2,1
39,29.6,8.4,315,1,1
39,30.2,9,211,1.6,1
39,30.2,8.6,586,4.3,1
39,29,7.8,292,1.3,1
39,29.2,8.7,291,1.1,1
39,27.5,8.3,388,1.8,1
39,27.5,8.3,388,1.8,1
39,25.7,8.5,961,1.8,1
39,29.5,8,75,1.9,1
38.9,24.7,8.3,393,1.6,1
38.9,22.7,8.4,373,2.9,1
38.9,17.5,7.3,75,1.7,1
38.9,17.8,8.3,366,0.85,1
38.9,20.2,7.7,291,1,1
38.9,18.9,7.2,78,1.2,1
38.9,25.8,8.6,357,1.6,1
38.9,24.3,7,75,3.4,1
38.9,13.8,8.1,257,1.9,1
38.9,20.9,8.2,331,1.6,1
38.9,17.1,6.9,70,0.95,1
38.9,23.8,8.6,332,2,1
38.9,18.4,8.4,378,1.5,1
38.9,16.9,8.6,174,1.1,1
38.9,18.8,7.8,251,3.2,1
38.8,28.2,7.7,335,1.5,1
38.8,30,8.1,408,0.85,1
38.8,31.3,8.1,426,1.3,1
38.8,27.1,8.3,388,1.9,1
38.8,27.1,8.3,388,1.9,1
38.8,27.8,8.2,279,1.8,1
38.8,18.6,8.2,253,3,1
38.7,16.1,6.6,73,0.85,1
38.7,25,8.4,390,2.3,1
38.7,30.4,8.3,380,0.8,1
38.7,19,8.3,442,1.7,1
38.7,32.1,9.9,173,4.8,1
38.7,25.5,8.3,439,1.2,1
38.7,19.8,8.3,398,1.1,1
38.7,26.2,8.2,384,2,1
38.7,22.7,8.3,292,6.7,1
38.7,19.7,8.3,258,2,1
38.7,19.1,7.7,342,1.9,1
38.7,14.5,8.1,265,2.3,1
38.7,30.5,8.7,311,1,1
38.7,30.5,8.7,311,1,1
38.7,30.4,7.9,400,1.4,1
38.7,22.4,8.4,280,1.8,1
38.7,28,8.1,582,0.6,1
38.7,21.8,8.5,280,1.2,1
38.6,19.1,8,231,1.4,1
38.6,21.9,8.4,373,1.8,1
38.6,22.6,8.4,375,3.3,1
38.6,17.1,7.3,69,1.1,1
38.6,26.6,8,391,1.7,1
38.6,20.9,8.6,268,1.3,1
38.6,27.4,8.4,364,1.1,1
38.6,26.8,7.4,71,1.9,1
38.6,20.5,8.4,286,4.3,1
38.5,24.1,8.4,319,4.7,1
38.5,20.4,8,315,3,1
38.5,21.4,7.4,214,2.3,1
38.4,17.9,7.1,64,1,1
38.4,22.8,8.3,425,1.7,1
38.4,26.6,8.1,388,1.7,1
38.4,18.3,8.2,291,1.5,1
38.4,18.9,7,78,1.4,1
38.4,21.8,8.2,331,1.3,1
38.4,28.9,8.1,209,8.5,1
38.4,31.8,8.2,290,2.3,1
38.3,29.6,8.4,322,1.5,1
38.3,22.6,7.3,153,3,1
38.3,23.7,8.1,76,1.1,1
38.3,17.8,7.3,70,1.3,1
38.3,18.9,8.2,247,1.2,1
38.3,14.1,8.2,248,1.4,1
38.3,27,8.3,388,2,1
38.3,21.7,8,209,4.3,1
38.3,25.2,6.5,129,1.4,1
38.2,23.5,7.8,89,1,1
38.2,26.8,8.1,421,1.5,1
38.2,18.9,7,76,1.1,1
38.2,19.1,8.1,211,6.8,1
38.1,17.7,7.3,65,0.8,1
38.1,18.5,8.3,252,1.2,1
38.1,19,8.3,442,2.1,1
38.1,29.6,8.1,383,0.8,1
38.1,23.8,8.2,426,1.7,1
38.1,30.4,8.7,316,1.1,1
38.1,30.4,8.7,316,1.1,1
38,19.7,8.4,434,2.6,1
38,23.5,8.3,472,1.4,1
38,16.6,8,272,1.9,1
38,21.6,8.3,315,0.7,1
38,27.1,8.2,385,1.8,1
38,16.5,7.8,392,2,1
38,26,8.3,396,1.6,1
38,27.6,8.2,387,2,1
38,25.9,8.4,375,1.6,1
38,28.2,8.5,371,1.9,1
38,28.4,8.4,371,1.6,1
38,21.6,8.4,394,1.3,1
38,29.6,8.6,301,1.5,1
38,30.2,8.6,320,1.2,1
38,25.5,8.4,388,2.3,1
38,23.8,8.3,86,1.3,1
38,24.9,8.3,417,1.2,1
38,22.5,8,318,1.9,1
38,19.2,8.4,430,1.3,1
38,24.3,8.3,400,1.6,1
38,29.6,8,383,0.75,1
38,24.7,7.1,74,3.5,1
38,21.8,8.4,275,1.3,1
38,25.5,6.4,128,1.8,1
38,22.3,8.4,398,2.2,1
38,18.9,8,350,1.8,1
37.9,30.8,8.5,339,2.5,1
37.9,19.2,8.3,396,2.8,1
37.9,27.3,8.2,355,2.6,1
37.9,23.9,7,84,3.8,1
37.9,26.8,8.4,390,1.6,1
37.9,13.5,8.1,258,1.9,1
37.9,23.5,7.9,218,5,1
37.9,26.9,8.4,374,2.1,1
37.8,30.1,8.5,310,1.6,1
37.8,26.9,8.1,421,1.5,1
37.8,19.5,8.3,394,1,1
37.8,22.5,8,315,2.8,1
37.8,26.4,8.4,392,3.7,1
37.8,27,8.4,358,1.5,1
37.8,21.7,8.2,423,1.4,1
37.7,18.7,8.4,255,1.1,1
37.7,26.8,8.1,429,1.7,1
37.7,20.7,8.3,368,1,1
37.7,18.6,7.7,342,1.6,1
37.7,18.9,7.6,83,1.8,1
37.7,24.3,8.2,424,1.8,1
37.7,27.3,8,340,1.5,1
37.6,23,8.5,333,0.95,1
37.6,23.5,7.9,319,3.1,1
37.6,19.1,8.2,400,2.5,1
37.5,23.2,8.3,218,2.1,1
37.5,27.9,8.4,397,1.5,1
37.5,18.3,8.4,450,1.4,1
37.5,31.8,8.3,449,1,1
37.5,19,8.3,428,1.3,1
37.5,31.2,8.2,391,1.1,1
37.5,24.4,7.2,75,5.3,1
37.5,17.1,8.3,262,1.3,1
37.5,19.3,8.2,207,5.6,1
37.5,23.4,7.9,220,3.7,1
37.5,22.1,8.3,344,2,1
37.5,30.8,7.6,276,3.9,1
37.4,27.9,8.4,395,1.5,1
37.4,24.7,8.3,400,1.4,1
37.4,20.7,8.4,259,1.8,1
37.4,20.6,8.2,241,1.9,1
37.4,24.4,8.7,330,1.8,1
37.3,26.9,8.5,213,1.1,1
37.3,27.8,7.9,280,4.4,1
37.2,31.6,8.4,414,0.9,1
37.2,25.8,8.3,414,1,1
37.2,25.5,8.3,363,0.9,1
37.2,25.2,8.3,366,1.5,1
37.2,30.2,8.6,354,1,1
37.2,24.2,8.2,423,1.4,1
37.2,25.4,8.2,350,1,1
37.2,22.3,7.6,242,5.5,1
37.2,20.5,8.3,398,2,1
37.1,27.5,8.1,327,1.3,1
37.1,19.3,8.3,401,3.5,1
37.1,26.7,8.3,300,2.9,1
37.1,22.3,7.9,217,3.8,1
37,19.6,8.3,433,1.6,1
37,24.8,8.4,380,2.7,1
37,29.1,8.4,319,1.9,1
37,21.6,8.3,442,2.5,1
37,20.7,8.3,423,2.2,1
37,14.4,7.8,291,2.4,1
37,16.3,8,256,2.3,1
37,30.7,8.1,391,1.9,1
37,29.8,8.2,390,2.1,1
37,27.8,8.4,372,1.6,1
37,22.7,8.6,328,1.4,1
37,29.6,8.4,445,1.2,1
37,24.8,8.1,419,1.8,1
37,19.5,7.8,431,3.4,1
37,22,8,233,4.4,1
37,19.5,8.2,320,2.9,1
36.9,22.8,8.5,373,0.85,1
36.9,22.3,8.3,384,1.3,1
36.9,27.3,8.4,341,11,1
36.8,27.1,8.4,386,1.3,1
36.8,27,8.4,389,1.4,1
36.8,27,8.4,389,1.4,1
36.8,24.1,7.6,73,0.9,1
36.8,17.2,6.5,68,1,1
36.8,21.2,8.5,333,0.85,1
36.8,17.2,8.4,186,0.8,1
36.7,24.2,8.1,404,1.7,1
36.7,24.1,8.2,400,1.7,1
36.7,18.6,8.4,254,2.4,1
36.7,25.4,8.2,347,1.2,1
36.7,14.5,8.1,242,2,1
36.6,31.6,8.3,448,0.9,1
36.6,25.8,8.6,358,1,1
36.6,20.8,8,305,2.8,1
36.6,20,8.7,252,0.95,1
36.5,18.6,8.4,257,1.3,1
36.5,27.7,8.5,394,1,1
36.5,25.3,8.2,425,1.9,1
36.5,31.8,8.1,502,0.85,1
36.5,23.8,8.2,436,1.7,1
36.5,27.2,8.4,222,2.6,1
36.5,26.5,7.2,74,2.6,1
36.5,24.1,7.6,79,1.1,1
36.5,20.4,8.3,402,2.2,1
36.4,22.2,6.4,106,1.4,1
36.4,22.2,8.1,318,2.4,1
36.4,24.7,8.2,400,1.8,1
36.4,24.6,7.3,73,3.1,1
36.4,25.3,8.2,345,1.3,1
36.4,29.3,7.2,95,2.3,1
36.4,15.3,8.1,242,1.2,1
36.3,24.8,8.2,325,3.4,1
36.3,21.2,7.9,215,4.4,1
36.3,18.8,8.3,278,2.9,1
36.2,12.9,8.2,264,0.7,1
36.2,23,8.2,220,1.8,1
36.2,25.5,8.2,417,1,1
36.2,31.9,8.3,448,0.9,1
36.2,31.4,8.4,361,2.6,1
36.2,17.1,6.7,68,1.1,1
36.2,20.3,6.6,71,4.6,1
36.1,31.6,8.4,414,0.9,1
36.1,11.4,8.1,241,0.85,1
36.1,15.5,8.1,273,1.1,1
36.1,18.6,8.3,479,1.8,1
36.1,17.7,8.2,248,1.4,1
36.1,17.1,6.6,69,1.1,1
36.1,25.6,8.3,330,0.7,1
36.1,24.4,8.2,76,1.1,1
36,25.7,8.4,395,2,1
36,26.1,8.3,394,3.5,1
36,26,8.2,398,3,1
36,25.1,8.5,386,3.2,1
36,20.9,8.3,432,1.7,1
36,20.6,8.4,418,2.7,1
36,16.4,8.2,394,1.8,1
36,26.1,8.4,404,1.6,1
36,28.8,8.4,367,1.2,1
36,26,8.4,375,1.5,1
36,14.9,8.1,266,1.6,1
36,15.3,8.1,266,1.5,1
36,19.3,8.4,429,1.2,1
36,12.4,8.1,242,0.85,1
36,25.9,8.4,387,4.1,1
36,28,8.4,358,1.3,1
36,14,8,242,1.7,1
36,16.9,8.5,179,1.1,1
35.9,21.8,8.2,251,0.75,1
35.9,20.5,8,416,1.5,1
35.9,26.5,8.3,350,2.1,1
35.8,19.1,8.2,248,1.9,1
35.8,20.7,8.3,397,0.8,1
35.8,18.8,7.6,342,2,1
35.8,24.1,7.8,74,0.8,1
35.8,20.7,8.4,402,1.5,1
35.8,19.2,8.5,251,0.95,1
35.7,18.7,8,414,2.1,1
35.7,29.5,8.5,275,3.2,1
35.6,19,8.3,398,3.6,1
35.6,18.9,7.6,75,1.9,1
35.6,24.7,8.2,427,1.7,1
35.5,17.9,7.8,454,1.5,1
35.5,18.3,8.4,452,1.3,1
35.5,27.8,8.4,386,1.1,1
35.5,13.6,8.2,284,0.55,1
35.5,18.9,8.3,432,1.2,1
35.5,27.4,8.2,341,1.6,1
35.5,19,7.6,88,1.9,1
35.5,27.8,8.3,223,1.5,1
35.5,25.5,8.3,325,0.65,1
35.4,24.8,7.7,78,2,1
35.4,24.9,8.3,314,2.7,1
35.4,27.4,8.3,344,2,1
35.3,28.2,8.4,394,1.3,1
35.3,20.9,8.3,369,1,1
35.3,20.1,8.5,421,1.7,1
35.2,19.3,8.1,235,1.2,1
35.2,18,8.3,454,1.5,1
35.2,13.8,8.2,291,0.65,1
35.2,31.5,8.3,293,2.8,1
35.1,28.1,8.3,225,2.5,1
35.1,26.6,7.4,71,2.3,1
35.1,14.7,8.1,244,1.9,1
35.1,20.7,8.4,400,1.8,1
35.1,27.7,8.5,320,2.4,1
35,30.6,8.3,395,1,1
35,25.5,8.4,375,1.2,1
35,19.4,8,229,1.2,1
35,19.3,8.1,211,4.5,1
34.9,18.4,8.1,422,0.65,1
34.9,26.3,8.4,362,0.8,1
34.9,24,7.5,75,1.1,1
34.9,23,8.4,396,2.5,1
34.8,27.1,8.3,331,1.4,1
34.8,22.2,7.8,219,2.8,1
34.8,27.4,8.4,346,2.2,1
34.7,24.8,8.3,439,1.6,1
34.7,29.7,8.5,278,3.5,1
34.6,22.6,8.3,424,1.4,1
34.6,25,8.9,246,0.45,1
34.6,19,8.2,436,1.3,1
34.6,20,8.6,263,1.1,1
34.6,20.6,8.4,375,1.1,1
34.6,22.1,7.7,218,3.1,1
34.5,30.5,8.2,357,2.7,1
34.5,23.2,8.4,449,1,1
34.4,29.1,8.5,319,1.4,1
34.4,22.6,7.9,217,2.8,1
34.3,20.1,8.4,424,1.4,1
34.2,21.5,8.3,368,1.1,1
34.2,18.1,8.2,251,1.7,1
34.2,20.7,8.4,379,1.1,1
34.1,24.5,7.6,102,2,1
34.1,13.8,8.1,271,1.6,1
34.1,21.2,8.1,354,2.8,1
34.1,26,8.4,320,0.65,1
34.1,18.6,8.3,366,0.55,1
34.1,19.1,8,348,0.85,1
34,13.2,8.2,245,0.8,1
34,25.4,8.3,326,0.8,1
33.9,18.9,7,75,1.1,1
33.9,27.1,8.3,383,1.4,1
33.9,20.6,8.6,266,1.2,1
33.9,21.4,7.5,189,2.6,1
33.8,30.1,8.5,312,1.4,1
33.8,31.2,8.4,413,0.95,1
33.7,13.2,7.9,267,0.9,1
33.7,25.5,8.3,364,0.85,1
33.7,24.4,7.7,85,2.1,1
33.7,20.2,8.3,418,2.2,1
33.7,20.4,8.3,379,1,1
33.7,22.7,8.4,396,2.6,1
33.6,25.9,8.4,328,0.85,1
33.6,17.8,7.9,366,0.75,1
33.5,24.7,7.7,78,2.1,1
33.5,24.6,8.4,450,1.6,1
33.4,18.9,8.1,426,0.7,1
33.4,29.9,8.5,279,3.7,1
33.3,17.4,8,424,0.75,1
33.3,13.6,8,282,1.1,1
33.3,31.4,8.4,413,0.95,1
33.3,24.9,8.4,448,1.1,1
33.3,28,8.5,357,1.2,1
33.3,19.1,8,210,5.8,1
33.2,20.4,8.2,388,3.4,1
33.2,21.2,8.1,366,0.8,1
33.2,15.1,8.1,272,1.3,1
33.2,15.3,8.1,273,0.75,1
33.1,24.4,8.3,310,2.5,1
33.1,20.2,8.3,377,1.8,1
33,26.1,8.4,376,1.1,1
33,26.9,8.4,384,2.1,1
33,19.2,8.4,437,1.2,1
33,13.8,7,90,2.5,1
32.9,20.4,8.3,378,1.1,1
32.9,28.1,8.6,318,2.5,1
32.8,27.1,8.4,382,1.9,1
32.8,12.9,7.8,273,1.7,1
32.8,19.8,8.4,419,1,1
32.7,24.7,7.4,106,2.9,1
32.7,18.6,8.3,479,2.7,1
32.6,18.2,8,413,3.8,1
32.6,19.6,8.1,348,1.3,1
32.6,18.3,8.4,450,1.4,1
32.6,24.2,8.9,248,0.6,1
32.6,27,8.4,386,1.8,1
32.6,19.2,8.3,436,1.2,1
32.5,24.4,8.9,253,0.8,1
32.4,18.4,8,413,2.6,1
32.4,24.2,8.3,440,1.4,1
32.4,14.9,8,271,0.8,1
32.4,15.2,8.1,277,1.1,1
32.3,19.5,8.1,349,1,1
32.2,26.6,8.3,381,2,1
32.1,23.7,8.4,448,1.6,1
32.1,14.4,8,272,1.5,1
32.1,19.8,8.4,419,1.2,1
32,20.6,8.3,433,1.1,1
32,20.5,8.3,434,1.4,1
32,16.4,8.2,394,1.4,1
32,18.8,8,420,2.6,1
32,29.5,8.5,320,1.6,1
32,21.1,8.1,354,0.75,1
31.9,24,8.2,415,3,1
31.9,18.9,7.5,71,2.2,1
31.9,22.4,8.3,398,2.6,1
31.9,15,8,272,0.85,1
31.7,24.6,8.3,440,2.3,1
31.7,22.5,8.3,382,1.7,1
31.7,18,8.3,479,1.3,1
31.6,18.1,8,413,2.4,1
31.5,28.6,8.4,340,2.9,1
31.4,24.7,7.6,79,2,1
31.4,19,8.3,437,0.85,1
31.4,23.9,8.3,453,1.8,1
31.2,22.4,8.3,398,2.7,1
31.1,24.2,8.3,440,1.4,1
31,21,8.4,433,1.8,1
30.9,16.3,8.4,179,1.3,1
30.9,19,8.2,261,2.2,1
30.6,24.1,8.4,448,1,1
30.3,19.1,8,345,1.1,1
30,20.6,8.3,432,1.3,1
30,28.3,8.1,345,3.4,1
29.9,19.1,8.3,436,1.2,1
29.6,13.1,8.2,265,0.9,1
29.6,26.2,8.2,354,2.3,1
29.4,22.8,8.3,399,4,1
29.1,18.5,8.4,380,1.3,1
28.5,12.8,8.1,264,0.75,1
28.3,25.1,8.3,415,2.4,1
28.3,24.1,8.2,414,2.2,1
25.5,18.6,8.3,366,0.65,1
24.9,23.4,8.3,427,1,1
24.4,24.8,8.3,417,3.6,1
23.2,23.8,8.2,481,2.5,1
49,21.2,8.3,464,6.6,2
45,27,8.2,435,2.7,2
44,31,8.3,518,5,2
45,22.3,8.3,463,2.6,2
47,27.5,8.2,432,2.9,2
45,32.2,8.5,406,5.5,2
44,31.7,8.4,508,4.9,2
45,21.7,8.4,437,2.4,2
50,21,8.3,464,6.8,2
